"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","17030465539.3906","17275940449.3837","19231747851.5332","23287712878.2002","20963733694.9749","22465522884.0988","28283323733.1114","31086389194.961","33930457425.2613","37171640818.5863","42327664793.6934","48869830901.7878","58434858374.8696","83592275862.9982","109794519727.538","129203555238.827","153168949208.207","176344101401.941","200278646123.581","221338204480.222","237393489892.637","258015174748.648","271314113768.417","189656506321.431","188339974086.58","210879844638.877","256480852471.129","283056836893.838","307881930752.268","412990820287.42","390725626002.866","342609231342.783","328187960871.951","368295778245.09","525369851353.742","769333330411.575","850426433004.077","883206452795.124","863711007325.493","599642075004.471","655448188259.351","559983704094.17","509795270685.19","558233724164.711","669289321944.512","891633826625.407","1107626711163.23","1397114247188.89","1695855391757.96","1666996294252.12","2208838108484.35","2616156606579.21","2465228293706.86","2472819362043.74","2456043766032.38","1802211999456.42","1795693265999.04","2063514688805.78","1916933708352.71","1873288158838.63","1476107292151.95","1670647464062.96","1951923832083.87","2191131869706.02","2185821648943.86","",
"Canada","CAN","GDP (current US$)","NY.GDP.MKTP.CD","40563768946.9503","41038192837.9035","42336211555.8268","45140337826.9869","49503663836.3665","54649410478.5226","61252415404.686","65856924423.9721","72048833006.1602","79405011124.8208","88192257632.3093","99606454743.5136","113463848873.624","131764343565.643","160949188139.059","174419757176.563","207271612576.065","212325176304.654","219369542386.254","243891124295.715","274776566028.053","307246642755.859","314647807408.608","341866277182.733","356718400123.543","366186012449.652","379006836991.724","433134238310.709","509380027626.554","567211993243.243","596075591360.987","612527712315.615","594387358318.855","579053561739.4","579944346807.264","605961090061.207","630607994132.747","654986999855.554","634000000000","678412196271.118","744773415931.587","738981792355.372","760649334098.005","895540646634.787","1026690238278.25","1173108598778.68","1319264809590.97","1468820407783.26","1552989690721.65","1374625142157.29","1617343367486.26","1793326630174.52","1828366481521.6","1846597421834.98","1805749878439.94","1556508816217.14","1527994741907.43","1649265644244.09","1725329192783.02","1743725183672.52","1655684730000.19","2022378748423.23","2190411080134.32","2173339670064.33","2243636826633.76","",
"China","CHN","GDP (current US$)","NY.GDP.MKTP.CD","59846235024.7318","50162299349.7871","47310737754.2287","50812227918.5753","59821862703.4023","70565994356.1828","76854053259.209","73011350596.2485","70980323818.7853","79847786729.1898","92752930873.1912","99959013879.6308","113871930713.841","138764340892","144418433058.472","163687619735.857","154196810058.643","175226595859.778","149788617886.179","178573913043.478","191487500000","196218253968.254","205480916030.534","231130268199.234","260442857142.857","310064625850.34","301310144927.536","273455156950.673","312888888888.889","348380566801.619","361560229445.507","384510452961.672","428502354788.069","446557291212.148","566929539493.172","738190896227.55","868523936530.083","967753570434.667","1037134141760.35","1103843203575.64","1223754919971.05","1355036590251.52","1489821682050.54","1683903309843.85","1984196551300.44","2317551298052.05","2791498472804.33","3604055822571.63","4667346414521.95","5189577094997.58","6192564874453.29","7671757207851.29","8673664713189.24","9743124247267.24","10674533168257.4","11280814787468.9","11456024084962","12537559062282.9","14147765772963.8","14560167101283.4","14996414166715.1","18201698719564","18316765021690.2","18270356654533.2","18743803170827.2","",
"Germany","DEU","GDP (current US$)","NY.GDP.MKTP.CD","84619845881.2608","96558204043.1028","105895435234.343","112232503744.1","123330404665.086","134774688191.161","143304275683.979","145100667772.69","156527292653.157","177733486326.06","216629229947.096","250900942396.699","300899944795.436","399833571167.215","446934971657.471","492434094920.105","521658712132.981","602698323085.993","743182891918.208","884574218333.155","953772499462.019","803404797057.551","779421633755.138","773507930294.906","727767760978.627","735218723093.277","1050092624515.9","1302932318824.81","1406367016371.53","1404092925205.45","1778162195860.07","1875792575132.59","2141377582968.07","2078954217437.6","2215282632276.73","2593053091306.13","2506576553158.31","2218790886532.82","2247760364565.97","2213873468586.88","1966980701145.1","1966381496641.73","2102350798305.89","2534715518349.01","2852317768061.78","2893393187361.87","3046308753670.58","3484056680854.91","3808197720125","3478545516683.59","3467093769666.67","3823575803793.78","3596483233406.25","3807023797050.99","3964870735760.77","3425099578746.09","3536787895179","3765351626105.89","4055433215301.96","3959894794039.21","3941398957073.94","4355251953410.78","4201021706478.62","4562207532490.28","4685592577804.69","",
"France","FRA","GDP (current US$)","NY.GDP.MKTP.CD","61959085885.3427","67158050215.0488","75196980365.0325","84227606649.8725","93424179943.3453","100927668584.29","109306730313.216","118088635380.954","128710572572.436","140660914840.59","147312861698.358","164694210962.472","201738881664.499","261970536240.424","282739225313.693","357324307786.446","368363152144.223","406401711687.617","501724418604.651","608218624730.188","694529183483.39","609184791792.396","578152310609.841","553356312935.709","525033325827.516","547220981165.134","764946585850.933","926320855614.973","1010827662151.75","1016742237302.08","1257649439826.53","1258961748633.88","1389663073110.28","1314383368079.69","1385822778827.98","1595219345511.89","1598889216566.23","1449392222971.45","1496906382032.47","1486915879701.93","1360959069477.49","1370376677298.86","1492427756382.43","1835095983049.09","2109792297237.03","2192146403028.17","2317861544690.82","2655816911866.56","2926802941585.86","2700075882518.98","2646230027988.34","2870408553990.28","2683007095787.23","2816077607875.26","2861236112552.42","2442483452642.5","2470407619777.13","2588868323334.71","2781576320884.39","2722793515171.76","2647926055110.05","2966433692008.09","2794788137066.94","3056250648138.29","3160442622465.08","",
"United Kingdom","GBR","GDP (current US$)","NY.GDP.MKTP.CD","73233967692.1028","77741965703.3544","81247564156.8246","86561961812.3249","94407558351.1616","101824755078.991","108572752102.045","113116888210.787","107759910067.889","116464702803.218","130671946244.3","148113896325.14","169965034965.035","192537971582.558","206131369798.971","241756637168.142","232614555256.065","263066457352.172","335883029721.956","438994070309.191","564947710899.373","540765675241.158","515048916841.37","489618008185.539","461487097632.349","489285164271.047","601452653180.885","745162608269.325","910122732123.799","926884816753.927","1093169389204.55","1142797178130.51","1179659529659.53","1061388722255.55","1140489745944.29","1349094208616.06","1425287051482.06","1569317288801.57","1660821464060.95","1693458987218.9","1671597821152.97","1656171009068.66","1790536570743.41","2061227755102.04","2429774807762.72","2551361818181.82","2719558417663.29","3104699879951.98","2945251838235.29","2429358155475.93","2496740681057.14","2675590034128.66","2719715961539.83","2796908333283.39","3085362169410.29","2945579890258.46","2706807606538.73","2699118387873.1","2897028009916.05","2875710080015.3","2724001478304.59","3194559188925.93","3181244350465.41","3420796653789.08","3686033044482.13","",
"India","IND","GDP (current US$)","NY.GDP.MKTP.CD","37029883876.1839","39232435784.0358","42161481858.0819","48421923459.1235","56480289940.9899","59556105229.0052","45581230504.071","50134942204","53085455870.6667","58447995017.3333","62422483054.6667","67351404351.833","71464700666.9869","85517673172.5513","99526597933.6331","98473832017.3242","102716451979.68","121486641441.309","137302319828.995","152995442497.709","186328579302.068","193491368445.573","200715624830.902","218262146413.158","212157645177.652","232511554840.372","248985994040.59","279033584092.223","296589670895.932","296042052944.66","320979026420.035","270105341879.226","288208070278.013","279295648982.529","327274843459.429","360281909643.489","392896866204.516","415867563592.829","421351317224.941","458821052615.79","468395521654.458","485440139204.171","514939140318.756","607700687237.318","709152728830.775","820383763511.445","940259888787.721","1216736438834.96","1198895139005.92","1341888016994.9","1675615519484.96","1823051829894.55","1827637590410.41","1856721507621.58","2039126479154.52","2103588360044.94","2294796885663.16","2651474262755.45","2702929641648.74","2835606256558.19","2674851578587.27","3167270623260.47","3346107287730.93","3638489096033.86","3909891533858.08","",
"Japan","JPN","GDP (current US$)","NY.GDP.MKTP.CD","47419238274.4619","57266758179.5883","64987857541.6256","74379284603.3875","87490590817.9803","97338107605.8236","113046784179.289","132475614226.519","156897496759.128","184298841304.667","217223652719.444","245364056622.363","324933841268.585","441460582535.921","490035789970.299","532861438884.724","598883902155.605","737069290927.712","1035611588216.59","1077910077676.37","1129377244854.04","1245221410764.15","1158731426905.85","1270859919742.9","1345824500836.76","1427019759717.41","2120083812109.91","2580748422781.09","3125724434400.79","3109455047823.93","3185904656663.85","3648065760648.88","3980702922117.66","4536940479038.25","4998797547740.97","5545563663889.7","4923391533851.63","4492448605638.94","4098362709531.24","4635982224063.88","4968359075956.59","4374711694090.87","4182846045873.61","4519561645253.53","4893116005656.56","4831467035389.8","4601663122649.92","4579750920354.81","5106679115127.3","5289493117993.89","5759071769013.11","6233147172341.35","6272362996105.03","5212328181166.18","4896994405353.29","4444930651964.18","5003677627544.24","4930837369151.42","5040880939324.86","5117993853016.51","5054068005376.28","5039148168861.22","4262463317796.53","4213167237905.83","4027597523550.58","",
"United States","USA","GDP (current US$)","NY.GDP.MKTP.CD","541988586206.897","561940310344.828","603639413793.103","637058551724.138","684144620689.655","741904862068.965","813032758620.69","859620034482.759","940225000000","1017438172413.79","1073303000000","1164850000000","1279110000000","1425376000000","1545243000000","1684904000000","1873412000000","2081826000000","2351599000000","2627333000000","2857307000000","3207041000000","3343789000000","3634038000000","4037613000000","4338979000000","4579631000000","4855215000000","5236438000000","5641580000000","5963144000000","6158129000000","6520327000000","6858559000000","7287236000000","7639749000000","8073122000000","8577554457000","9062818202000","9631174489000","10250947997000","10581929774000","10929112955000","11456442041000","12217193198000","13039199193000","13815586948000","14474226905000","14769857911000","14478064934000","15048964444000","15599728123000","16253972230000","16843190993000","17550680174000","18206020741000","18695110842000","19477336549000","20533057312000","21380976119000","21060473613000","23315080560000","25604848907611","27292170793214.4","28750956130731.2","",
"World","WLD","GDP (current US$)","NY.GDP.MKTP.CD","1366488391354.06","1443968549479.04","1544903390848.07","1670354539896.74","1831030283046.23","1995234672640.12","2162707523801.04","2294873084337.79","2479815244885.12","2739123953755.11","3004258440770.47","3319897075453.74","3834213544152.23","4688557691603.01","5419514194142.37","6035142144928.11","6560173647274.54","7416442857108.43","8779661745036.97","10155462903237.9","11452768541637.6","11843441094928.6","11719276657617.9","11962974794875.1","12427957579028","13016982447733.2","15348439146362.6","17472239624529","19524821807843.9","20395813960211","22922751084575","23920903881560.9","25546959069356.8","25974923485795.5","27961448359307.6","31245419629026","31968950237590.7","31870560107975.7","31733749169046.7","32782827769545.3","33898156427205.9","33690417699612.7","34991525564916.9","39243276986261.9","44225384449869.7","47900489808168.8","51923507284496","58525785801185.8","64311729364641.3","60982255960004.4","66811191491614.9","74309709353789.3","75960594595757","78034892841179.1","80054888775431.1","75621913961646.1","76831684012526.2","81839102917044.7","87050964956078.4","88483262418196.7","85912761035231.2","98140475264975.8","102251524725531","106741647821064","110982661180013","",
